City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
640,Siocon,PH,78.94,overcast clouds,7.7061,122.1353,ABS Hotel
642,Chaman,PK,84.06,overcast clouds,30.9236,66.4512,Niamat parda Center chaman
645,Laguna,US,89.08,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
647,Belgrade,RS,90.39,clear sky,44.804,20.4651,Saruna Wellness - Hotel Park Belgrade
655,Tiarei,PF,75.22,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
659,Hastings,GB,76.89,overcast clouds,50.8552,0.5729,Zanzibar Hotel
660,Atherton,GB,75.04,overcast clouds,53.5237,-2.4935,The Mercury Motel
663,Santa Rosalia,MX,87.53,scattered clouds,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
667,Hirara,JP,85.57,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
668,La Romana,DO,91.76,broken clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
671,Fairview,US,85.53,clear sky,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
674,Manggar,ID,81.37,broken clouds,-2.8833,108.2667,Guest Hotel
678,Cananeia,BR,82.22,clear sky,-25.0147,-47.9267,Pousada Ancoradouro
679,Shache,CN,79.84,broken clouds,38.4167,77.2406,Delong Hotel
