City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Inhambane,MZ,2022-08-11 14:45:36,-23.865,35.3833,76.98,69,0,9.22
59,Butzow,DE,2022-08-11 14:45:37,53.85,11.9833,84.65,26,8,8.48
60,Talnakh,RU,2022-08-11 14:45:37,69.4865,88.3972,54.21,72,58,2.35
61,Biak,ID,2022-08-11 14:45:38,-0.9131,122.8766,75.99,88,43,0.45
62,Bredasdorp,ZA,2022-08-11 14:45:39,-34.5322,20.0403,60.91,67,100,8.21
63,Klaksvik,FO,2022-08-11 14:45:40,62.2266,-6.589,56.32,73,45,13.65
64,Maceio,BR,2022-08-11 14:45:40,-9.6658,-35.7353,81.84,74,75,6.91
65,Vokhtoga,RU,2022-08-11 14:45:41,58.8147,41.0461,69.71,50,84,8.5
66,Puerto Del Rosario,ES,2022-08-11 14:45:42,28.5004,-13.8627,78.55,69,20,18.41
67,Kodiak,US,2022-08-11 14:45:42,57.79,-152.4072,54.91,94,100,6.91
68,Puerto Ayora,EC,2022-08-11 14:45:43,-0.7393,-90.3518,73.36,95,100,7.0
69,Mathbaria,BD,2022-08-11 14:45:44,22.2876,89.9593,77.81,95,100,5.17
70,Atherton,GB,2022-08-11 14:40:50,53.5237,-2.4935,91.26,35,6,1.34
71,Arica,CL,2022-08-11 14:45:45,-18.475,-70.3042,61.03,67,100,0.0
72,Corralillo,CU,2022-08-11 14:45:46,22.9819,-80.5856,84.7,67,77,14.83
73,Sarai,RU,2022-08-11 14:45:47,53.7458,41.0213,77.38,43,15,10.94
74,Naryan-Mar,RU,2022-08-11 14:45:47,67.6713,53.087,62.1,63,100,17.11
75,Coahuayana,MX,2022-08-11 14:45:25,18.7333,-103.6833,83.5,67,100,0.98
76,Basco,PH,2022-08-11 14:45:49,20.4487,121.9702,83.61,74,10,2.39
77,Cervo,ES,2022-08-11 14:45:49,43.6702,-7.4101,72.97,82,66,15.28
78,Lebu,CL,2022-08-11 14:42:21,-37.6167,-73.65,50.25,66,87,0.45
79,Hofn,IS,2022-08-11 14:41:20,64.2539,-15.2082,52.48,78,9,16.67
80,Kuching,MY,2022-08-11 14:45:51,1.55,110.3333,82.22,83,20,5.01
81,Half Moon Bay,US,2022-08-11 14:45:09,37.4636,-122.4286,63.86,88,100,12.66
82,Port Keats,AU,2022-08-11 14:45:52,-14.25,129.55,72.28,75,1,4.23
83,Sao Filipe,CV,2022-08-11 14:42:14,14.8961,-24.4956,80.69,67,2,15.23
84,Los Llanos De Aridane,ES,2022-08-11 14:45:53,28.6585,-17.9182,73.15,76,75,14.97
85,Geraldton,AU,2022-08-11 14:45:54,-28.7667,114.6,46.81,93,0,9.22
86,Hithadhoo,MV,2022-08-11 14:42:19,-0.6,73.0833,82.51,74,6,6.4
87,Mabaruma,GY,2022-08-11 14:45:55,8.2,-59.7833,89.44,55,7,3.22
88,Bathsheba,BB,2022-08-11 14:45:56,13.2167,-59.5167,86.61,74,40,14.97
89,Provideniya,RU,2022-08-11 14:46:57,64.3833,-173.3,49.26,96,62,5.99
90,Luderitz,NA,2022-08-11 14:46:58,-26.6481,15.1594,62.13,66,56,14.67
91,Mbamba,NG,2022-08-11 14:46:58,9.9833,13.1,76.48,80,98,5.99
92,Chuy,UY,2022-08-11 14:46:59,-33.6971,-53.4616,59.13,72,0,6.22
93,Port-Gentil,GA,2022-08-11 14:44:17,-0.7193,8.7815,80.56,69,40,11.5
94,Longyearbyen,SJ,2022-08-11 14:47:01,78.2186,15.6401,48.04,71,75,14.97
95,New Norfolk,AU,2022-08-11 14:47:02,-42.7826,147.0587,47.7,83,100,2.28
96,Cherskiy,RU,2022-08-11 14:47:02,68.75,161.3,57.04,66,12,4.7
97,Ponta Do Sol,PT,2022-08-11 14:47:03,32.6667,-17.1,74.03,85,54,5.97
